,0,1,2
0,-2.731,-2.374,3.641
1,-2.353,-3.398,3.996
2,-2.756,-2.412,3.32
3,-2.638,-3.764,4.001
4,-2.758,-2.428,3.0
5,-2.877,-4.061,3.898
6,-4.086,-3.613,4.004
7,-2.938,-4.108,3.552
8,-4.547,-4.038,4.002
9,-2.968,-4.118,3.195
10,-4.803,-4.281,3.781
11,-4.223,-5.818,4.031
12,-4.788,-4.283,3.351
13,-3.607,-4.943,3.035
14,-4.852,-4.351,2.994
15,-4.393,-5.992,3.229
16,-5.623,-5.054,3.025
17,-5.762,-7.826,3.655
18,-6.067,-5.467,2.807
19,-5.816,-7.874,3.133
20,-6.775,-6.113,2.639
21,-6.714,-9.064,3.003
22,-7.681,-6.945,2.452
23,-6.749,-9.094,2.422
24,-7.704,-6.974,1.928
25,-6.799,-9.149,1.856
26,-12.39,-11.226,2.264
27,-6.825,-9.177,1.287
28,-4.889,-4.435,0.568
29,-4.721,-6.346,0.499
30,-4.885,-4.436,0.244
31,-4.723,-6.35,0.109
32,-4.819,-4.379,-0.076
33,-2.817,-3.79,-0.167
34,-2.934,-2.667,-0.24
35,-2.82,-3.799,-0.401
36,-2.937,-2.67,-0.436
37,-2.835,-3.826,-0.641
38,-2.949,-2.682,-0.636
39,-2.792,-3.776,-0.87
40,-3.046,-2.769,-0.866
41,-2.212,-3.002,-0.884
42,-0.0,-0.0,-0.0
43,-1.834,-2.498,-0.9
44,-0.373,-0.339,-0.159
45,-0.296,-0.404,-0.173
46,-0.342,-0.311,-0.172
47,-0.265,-0.364,-0.181
48,-0.308,-0.279,-0.178
49,-0.231,-0.319,-0.182
50,-0.0,-0.0,-0.0
51,-0.0,-0.0,-0.0
52,-0.0,-0.0,-0.0
53,-0.0,-0.0,-0.0
54,-0.0,-0.0,-0.0
55,-0.0,-0.0,-0.0
56,-0.0,-0.0,-0.0
57,-0.0,-0.0,-0.0
58,-0.0,-0.0,-0.0
59,-0.0,-0.0,-0.0
60,-0.0,-0.0,-0.0
61,-0.0,-0.0,-0.0
62,-0.0,-0.0,-0.0
63,-0.0,-0.0,-0.0
64,-2.775,-2.382,3.68
65,-2.369,-3.377,3.987
66,-2.799,-2.419,3.355
67,-2.659,-3.744,3.997
68,-2.799,-2.434,3.029
69,-2.919,-4.066,3.92
70,-4.099,-3.58,3.995
71,-2.971,-4.102,3.562
72,-4.555,-3.996,3.988
73,-3.015,-4.13,3.219
74,-4.871,-4.288,3.813
75,-4.262,-5.798,4.035
76,-4.851,-4.286,3.377
77,-3.645,-4.931,3.041
78,-4.896,-4.336,3.004
79,-4.457,-6.001,3.249
80,-5.649,-5.015,3.023
81,-5.826,-7.813,3.665
82,-6.048,-5.382,2.783
83,-5.898,-7.884,3.152
84,-7.585,-6.76,2.938
85,-6.723,-8.96,2.983
86,-7.703,-6.88,2.445
87,-6.779,-9.018,2.412
88,-7.723,-6.905,1.922
89,-6.826,-9.067,1.848
90,-12.502,-11.189,2.271
91,-6.851,-9.094,1.281
92,-4.893,-4.384,0.566
93,-4.727,-6.273,0.496
94,-4.906,-4.4,0.244
95,-4.739,-6.29,0.109
96,-4.857,-4.359,-0.076
97,-2.823,-3.75,-0.166
98,-2.93,-2.631,-0.239
99,-2.821,-3.752,-0.397
100,-2.94,-2.64,-0.434
101,-2.836,-3.778,-0.636
102,-2.953,-2.653,-0.634
103,-2.792,-3.727,-0.863
104,-3.057,-2.744,-0.864
105,-2.228,-2.984,-0.883
106,-0.42,-0.377,-0.148
107,-1.843,-2.477,-0.897
108,-0.377,-0.338,-0.16
109,-0.295,-0.398,-0.171
110,-0.332,-0.298,-0.166
111,-0.268,-0.364,-0.182
112,-0.0,-0.0,-0.0
113,-0.233,-0.318,-0.182
114,-0.0,-0.0,-0.0
115,-0.202,-0.277,-0.18
116,-0.0,-0.0,-0.0
117,-0.0,-0.0,-0.0
118,-0.0,-0.0,-0.0
119,-0.0,-0.0,-0.0
120,-0.0,-0.0,-0.0
121,-0.0,-0.0,-0.0
122,-0.0,-0.0,-0.0
123,-0.0,-0.0,-0.0
124,-0.0,-0.0,-0.0
125,-0.0,-0.0,-0.0
126,-0.0,-0.0,-0.0
127,-0.0,-0.0,-0.0
128,-2.817,-2.389,3.717
129,-2.394,-3.369,3.995
130,-2.835,-2.42,3.38
131,-2.684,-3.731,4.001
132,-2.834,-2.434,3.05
133,-2.953,-4.062,3.933
134,-4.122,-3.557,3.997
135,-3.024,-4.12,3.594
136,-4.583,-3.971,3.991
137,-3.049,-4.123,3.228
138,-4.936,-4.292,3.844
139,-3.168,-4.255,2.975
140,-4.914,-4.288,3.402
141,-3.68,-4.915,3.045
142,-4.947,-4.327,3.019
143,-4.523,-6.012,3.27
144,-5.675,-4.976,3.021
145,-5.879,-7.784,3.669
146,-6.064,-5.331,2.775
147,-5.974,-7.884,3.166
148,-7.684,-6.764,2.96
149,-6.695,-8.81,2.946
150,-7.71,-6.801,2.434
151,-6.793,-8.922,2.398
152,-7.719,-6.816,1.91
153,-6.835,-8.964,1.836
154,-0.0,-0.0,0.0
155,-6.838,-8.962,1.268
156,-4.888,-4.325,0.562
157,-4.724,-6.19,0.491
158,-4.905,-4.346,0.243
159,-4.746,-6.22,0.108
160,-4.885,-4.33,-0.076
161,-2.826,-3.707,-0.165
162,-2.933,-2.601,-0.238
163,-2.824,-3.708,-0.395
164,-2.934,-2.602,-0.431
165,-2.832,-3.725,-0.63
166,-2.947,-2.614,-0.629
167,-2.821,-3.719,-0.865
168,-3.066,-2.719,-0.862
169,-2.246,-2.97,-0.883
170,-0.0,-0.0,-0.0
171,-1.857,-2.465,-0.897
172,-0.38,-0.336,-0.16
173,-0.296,-0.395,-0.17
174,-0.336,-0.298,-0.167
175,-0.0,-0.0,-0.0
176,-0.305,-0.27,-0.175
177,-0.0,-0.0,-0.0
178,-0.0,-0.0,-0.0
179,-0.0,-0.0,-0.0
180,-0.0,-0.0,-0.0
181,-0.0,-0.0,-0.0
182,-0.0,-0.0,-0.0
183,-0.0,-0.0,-0.0
184,-0.0,-0.0,-0.0
185,-0.0,-0.0,-0.0
186,-0.0,-0.0,-0.0
187,-0.0,-0.0,-0.0
188,-0.0,-0.0,-0.0
189,-0.0,-0.0,-0.0
190,-0.0,-0.0,-0.0
191,-0.0,-0.0,-0.0
192,-2.863,-2.397,3.757
193,-2.425,-3.368,4.012
194,-2.868,-2.418,3.402
195,-2.712,-3.721,4.008
196,-2.867,-2.432,3.07
197,-2.989,-4.057,3.947
198,-4.145,-3.532,3.998
199,-3.065,-4.124,3.614
200,-4.615,-3.95,3.998
201,-3.097,-4.135,3.252
202,-4.999,-4.293,3.872
203,-3.19,-4.23,2.971
204,-5.0,-4.309,3.443
205,-3.721,-4.906,3.054
206,-5.034,-4.349,3.055
207,-4.587,-6.02,3.289
208,-5.708,-4.943,3.022
209,-4.697,-6.141,2.908
210,-6.086,-5.284,2.77
211,-6.05,-7.883,3.181
212,-7.717,-6.71,2.957
213,-6.664,-8.659,2.909
214,-7.707,-6.715,2.42
215,-6.807,-8.828,2.384
216,-7.709,-6.724,1.898
217,-6.841,-8.859,1.823
218,-12.941,-11.3,2.326
219,-6.845,-8.859,1.26
220,-4.908,-4.29,0.561
221,-4.728,-6.116,0.488
222,-4.912,-4.298,0.242
223,-4.743,-6.137,0.107
224,-4.876,-4.27,-0.076
225,-2.827,-3.662,-0.164
226,-2.937,-2.573,-0.237
227,-2.829,-3.667,-0.392
228,-2.941,-2.576,-0.43
229,-2.838,-3.686,-0.626
230,-2.946,-2.581,-0.625
231,-2.845,-3.703,-0.865
232,-3.076,-2.694,-0.86
233,-2.262,-2.954,-0.882
234,-0.0,-0.0,-0.0
235,-1.868,-2.448,-0.894
236,-0.383,-0.335,-0.161
237,-0.0,-0.0,-0.0
238,-0.338,-0.296,-0.167
239,-0.27,-0.357,-0.18
240,-0.315,-0.275,-0.179
241,-0.234,-0.31,-0.18
242,-0.0,-0.0,-0.0
243,-0.0,-0.0,-0.0
244,-0.0,-0.0,-0.0
245,-0.0,-0.0,-0.0
246,-0.0,-0.0,-0.0
247,-0.0,-0.0,-0.0
248,-0.0,-0.0,-0.0
249,-0.0,-0.0,-0.0
250,-0.0,-0.0,-0.0
251,-0.0,-0.0,-0.0
252,-0.0,-0.0,-0.0
253,-0.0,-0.0,-0.0
254,-0.0,-0.0,-0.0
255,-0.0,-0.0,-0.0
256,-2.89,-2.39,3.774
257,-2.451,-3.36,4.021
258,-2.907,-2.42,3.43
259,-2.729,-3.697,4.0
260,-2.903,-2.432,3.092
261,-3.02,-4.048,3.956
262,-4.172,-3.512,4.003
263,-3.101,-4.119,3.626
264,-4.659,-3.937,4.014
265,-3.146,-4.146,3.276
266,-5.063,-4.295,3.902
267,-3.218,-4.212,2.972
268,-5.072,-4.318,3.475
269,-3.758,-4.893,3.06
